연번,ID,매매_18년_1분기,등락율18_1,전세가율18_1,전용면적,구별인구,거래량1,거래량18,거래허가제TF,아파트TF,주상복합TF,도시형주택TF,일반분양TF,복합분양TF,임대분양TF,사용승인년도,동당세대수,승강기합계,동수,세대수,관리원당세대수,승강기당세대수,세대당주차수,지하주차비율,세대당cctv수,관리인원수,연간소독횟수,관리위탁여부,개별난방TF,중앙난방TF,지역난방TF,복도식TF,혼합형TF,계단식TF,메이저시공사TF,조합시행TF,철근철골구조TF,홈네트워크TF,관리시설수
1080,서울특별시 구로구 구로동 이화우성 60,36600,1.6,78.8,60,440396,5,1,0,1,0,0,1,0,0,1998,99.4,51,5,497,27.61111111,9.745098039,0.99195171,0.728194726,0.171026157,18,4,1,1,0,0,0,1,0,0,0,0,0,4
1081,서울특별시 구로구 구로동 이화우성 80,45900, - ,80.1,80,440396,3,0,0,1,0,0,1,0,0,1998,99.4,51,5,497,27.61111111,9.745098039,0.99195171,0.728194726,0.171026157,18,4,1,1,0,0,0,1,0,0,0,0,0,4
1083,서울특별시 구로구 구로동 주공1 70,45950,3.6,53.2,70,440396,17,0,0,1,0,0,1,0,0,1986,111.8947368,179,19,2126,29.94366197,11.87709497,0.457196613,0,0.0724365,71,12,1,0,1,0,0,1,0,0,0,0,0,5
1084,서울특별시 구로구 구로동 주공1 80,50780,1.9,54.8,80,440396,22,1,0,1,0,0,1,0,0,1986,111.8947368,179,19,2126,29.94366197,11.87709497,0.457196613,0,0.0724365,71,12,1,0,1,0,0,1,0,0,0,0,0,5
1088,서울특별시 구로구 구로동 중앙하이츠 60,39875, - ,73.5,60,440396,4,0,0,1,0,0,1,0,0,2001,119.4,50,5,597,35.11764706,11.94,1.033500838,0.878444084,0.180904523,17,12,1,1,0,0,0,0,1,0,0,0,0,7
1089,서울특별시 구로구 구로동 중앙하이츠 70,36800,-0.5,65.9,70,440396,1,0,0,1,0,0,1,0,0,1987,96.5,63,6,579,23.16,9.19047619,0.704663212,0,0.148531952,25,12,1,0,1,0,1,0,0,0,0,0,0,0
1090,서울특별시 구로구 구로동 중앙하이츠 80,44167,6.3,68.6,80,440396,12,0,0,1,0,0,1,0,0,2001,119.4,50,5,597,35.11764706,11.94,1.033500838,0.878444084,0.180904523,17,12,1,1,0,0,0,0,1,0,0,0,0,7
1098,서울특별시 구로구 구로동 한신휴플러스 50,39786,0.2,72.9,50,440396,7,2,0,1,0,0,1,0,0,2007,71.14285714,46,7,498,33.2,10.82608696,1,1,0.212851406,15,12,1,1,0,0,0,1,0,0,1,0,0,5
1099,서울특별시 구로구 구로동 한신휴플러스 60,45440,1.1,79.3,60,440396,10,0,0,1,0,0,1,0,0,2007,71.14285714,46,7,498,33.2,10.82608696,1,1,0.212851406,15,12,1,1,0,0,0,1,0,0,1,0,0,5
1100,서울특별시 구로구 구로동 한일유앤아이 80,42100, - ,75.8,80,440396,10,1,0,1,0,0,1,0,0,2006,56.75,45,8,454,30.26666667,10.08888889,1.18722467,0.857142857,0.174008811,15,6,1,1,0,0,0,0,1,0,0,1,0,7
1101,서울특별시 구로구 구로동 현대 60,33520,5,65.3,60,440396,5,0,0,1,0,0,1,0,0,1988,132.3333333,34,3,397,33.08333333,11.67647059,0.453400504,0,0.095717884,12,12,1,1,0,0,1,0,0,1,0,0,0,3
1104,서울특별시 구로구 구로동 현대상선 60,35550, - ,68.9,60,440396,0,0,0,1,0,0,1,0,0,1987,145,35,2,290,29,8.285714286,0.634482759,0.233695652,0.103448276,10,4,1,1,0,0,0,0,1,1,1,0,0,3
1105,서울특별시 구로구 구로동 현대상선 80,40500,-2.5,74.1,80,440396,2,0,0,1,0,0,1,0,0,1987,145,35,2,290,29,8.285714286,0.634482759,0.233695652,0.103448276,10,4,1,1,0,0,0,0,1,1,1,0,0,3
1106,서울특별시 구로구 구로동 현대연예인 50,27343,-1.3,81.2,50,440396,7,1,0,1,0,0,1,0,0,1989,122.5,89,6,735,23.70967742,8.258426966,0.761904762,0,0.12244898,31,4,1,0,1,0,0,1,0,1,1,0,0,5
1107,서울특별시 구로구 구로동 현대연예인 70,35000, - ,72.9,70,440396,1,1,0,1,0,0,1,0,0,1989,122.5,89,6,735,23.70967742,8.258426966,0.761904762,0,0.12244898,31,4,1,0,1,0,0,1,0,1,1,0,0,5
1108,서울특별시 구로구 구로동 현대연예인 80,39525, - ,73.8,80,440396,6,1,0,1,0,0,1,0,0,1989,122.5,89,6,735,23.70967742,8.258426966,0.761904762,0,0.12244898,31,4,1,0,1,0,0,1,0,1,1,0,0,5
1111,서울특별시 구로구 신도림동 SKVIEW 80,58800,2.4,80.4,80,440396,6,2,0,0,1,0,1,0,0,2006,101.3333333,49,3,304,15.2,6.204081633,1.269736842,0.888601036,0.240131579,20,12,1,1,0,0,0,0,1,0,0,0,1,5
