연번,ID,매매_22년_2분기,등락율,전세가율,전용면적.17,구별인구.17,거래량18,거래허가제TF,아파트TF,주상복합TF,도시형주택TF,일반분양TF,복합분양TF,임대분양TF,사용승인년도,동당세대수,승강기합계,동수,세대수,관리원당세대수,승강기당세대수,세대당주차수,지하주차비율,세대당cctv수,관리인원수,연간소독횟수,관리위탁여부,개별난방TF,중앙난방TF,지역난방TF,복도식TF,혼합형TF,계단식TF,메이저시공사TF,조합시행TF,철근철골구조TF,홈네트워크TF,관리시설수
2,서울특별시 강남구 개포동 개포주공5단지 60,"202,800", - ,22,60,"536,710",0,0,1,0,0,1,0,0,1983,156.6666667,91,6,940,24.73684211,10.32967033,0.693617021,0,0.058510638,38,8,1,0,0,1,1,0,0,0,0,0,0,5
3,서울특별시 강남구 개포동 개포주공5단지 80,"282,250", - ,22,80,"536,710",0,0,1,0,0,1,0,0,1983,156.6666667,91,6,940,24.73684211,10.32967033,0.693617021,0,0.058510638,38,8,1,0,0,1,1,0,0,0,0,0,0,5
4,서울특별시 강남구 개포동 개포주공6단지 50,"189,000", - ,23,50,"536,710",0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
6,서울특별시 강남구 개포동 개포주공6단지 60,"181,000", - ,22,60,"536,710",0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
8,서울특별시 강남구 개포동 개포주공6단지 70,"270,000", - ,21,70,"536,710",0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
10,서울특별시 강남구 개포동 개포주공6단지 80,"280,000", - ,24,80,"536,710",0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
12,서울특별시 강남구 개포동 개포주공7단지 50,"211,500", - ,20,50,"536,710",0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
14,서울특별시 강남구 개포동 개포주공7단지 60,"200,000", - ,23,60,"536,710",0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
16,서울특별시 강남구 개포동 개포주공7단지 70,"265,000", - ,22,70,"536,710",0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
18,서울특별시 강남구 개포동 개포주공7단지 80,"283,500", - ,23,80,"536,710",0,0,1,0,0,1,0,0,1983,117.7777778,103,9,1060,26.5,10.29126214,1.037735849,0,0.035849057,40,12,1,0,0,1,0,1,0,1,0,0,0,3
